,Movie,MovieCode,Year,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
124,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30481927,"Lebenzon, Chris",3
125,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30682325,"Pyle, Missi",2
126,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30727445,"Rousselot, Philippe",2
127,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30728300,"Roy, Deep",2
128,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30932653,"Zanuck, Richard D.",2
129,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30114716,"Burton, Tim (I)",4
130,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30243631,"Elfman, Danny",4
131,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30282593,"Frauenfelder, Katterli",3
132,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30481927,"Lebenzon, Chris",4
133,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30682325,"Pyle, Missi",2
134,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30727445,"Rousselot, Philippe",3
135,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30728300,"Roy, Deep",3
136,Big Fish_2003,21004171,2003,30083861,"Bonham Carter, Helena",30932653,"Zanuck, Richard D.",3
137,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30213196,"DeVito, Danny",4
138,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30243631,"Elfman, Danny",12
139,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30282593,"Frauenfelder, Katterli",3
140,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30481927,"Lebenzon, Chris",8
141,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30682325,"Pyle, Missi",2
142,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30727445,"Rousselot, Philippe",3
